date_key,date,year,quarter_number,quarter_text,month,year_month,week,year_week,week_start,week_end,week_range,abbreviated_weekday,weekday
48,"2021-02-17 00:00:00",2021,1,"Q1 2021",2,"February 2021",7,"2021, Week 7","2021-02-15 00:00:00",2021-02-21,"Feb 15, 2021 to Feb 21, 2021 (Week 7)",Wed,Wednesday
49,"2021-02-18 00:00:00",2021,1,"Q1 2021",2,"February 2021",7,"2021, Week 7","2021-02-15 00:00:00",2021-02-21,"Feb 15, 2021 to Feb 21, 2021 (Week 7)",Thu,Thursday
50,"2021-02-19 00:00:00",2021,1,"Q1 2021",2,"February 2021",7,"2021, Week 7","2021-02-15 00:00:00",2021-02-21,"Feb 15, 2021 to Feb 21, 2021 (Week 7)",Fri,Friday
51,"2021-02-20 00:00:00",2021,1,"Q1 2021",2,"February 2021",7,"2021, Week 7","2021-02-15 00:00:00",2021-02-21,"Feb 15, 2021 to Feb 21, 2021 (Week 7)",Sat,Saturday
52,"2021-02-21 00:00:00",2021,1,"Q1 2021",2,"February 2021",7,"2021, Week 7","2021-02-15 00:00:00",2021-02-21,"Feb 15, 2021 to Feb 21, 2021 (Week 7)",Sun,Sunday
53,"2021-02-22 00:00:00",2021,1,"Q1 2021",2,"February 2021",8,"2021, Week 8","2021-02-22 00:00:00",2021-02-28,"Feb 22, 2021 to Feb 28, 2021 (Week 8)",Mon,Monday
54,"2021-02-23 00:00:00",2021,1,"Q1 2021",2,"February 2021",8,"2021, Week 8","2021-02-22 00:00:00",2021-02-28,"Feb 22, 2021 to Feb 28, 2021 (Week 8)",Tue,Tuesday
55,"2021-02-24 00:00:00",2021,1,"Q1 2021",2,"February 2021",8,"2021, Week 8","2021-02-22 00:00:00",2021-02-28,"Feb 22, 2021 to Feb 28, 2021 (Week 8)",Wed,Wednesday
56,"2021-02-25 00:00:00",2021,1,"Q1 2021",2,"February 2021",8,"2021, Week 8","2021-02-22 00:00:00",2021-02-28,"Feb 22, 2021 to Feb 28, 2021 (Week 8)",Thu,Thursday
57,"2021-02-26 00:00:00",2021,1,"Q1 2021",2,"February 2021",8,"2021, Week 8","2021-02-22 00:00:00",2021-02-28,"Feb 22, 2021 to Feb 28, 2021 (Week 8)",Fri,Friday
58,"2021-02-27 00:00:00",2021,1,"Q1 2021",2,"February 2021",8,"2021, Week 8","2021-02-22 00:00:00",2021-02-28,"Feb 22, 2021 to Feb 28, 2021 (Week 8)",Sat,Saturday
59,"2021-02-28 00:00:00",2021,1,"Q1 2021",2,"February 2021",8,"2021, Week 8","2021-02-22 00:00:00",2021-02-28,"Feb 22, 2021 to Feb 28, 2021 (Week 8)",Sun,Sunday
60,"2021-03-01 00:00:00",2021,1,"Q1 2021",3,"March 2021",9,"2021, Week 9","2021-03-01 00:00:00",2021-03-07,"Mar 01, 2021 to Mar 07, 2021 (Week 9)",Mon,Monday
61,"2021-03-02 00:00:00",2021,1,"Q1 2021",3,"March 2021",9,"2021, Week 9","2021-03-01 00:00:00",2021-03-07,"Mar 01, 2021 to Mar 07, 2021 (Week 9)",Tue,Tuesday
62,"2021-03-03 00:00:00",2021,1,"Q1 2021",3,"March 2021",9,"2021, Week 9","2021-03-01 00:00:00",2021-03-07,"Mar 01, 2021 to Mar 07, 2021 (Week 9)",Wed,Wednesday
63,"2021-03-04 00:00:00",2021,1,"Q1 2021",3,"March 2021",9,"2021, Week 9","2021-03-01 00:00:00",2021-03-07,"Mar 01, 2021 to Mar 07, 2021 (Week 9)",Thu,Thursday
64,"2021-03-05 00:00:00",2021,1,"Q1 2021",3,"March 2021",9,"2021, Week 9","2021-03-01 00:00:00",2021-03-07,"Mar 01, 2021 to Mar 07, 2021 (Week 9)",Fri,Friday
65,"2021-03-06 00:00:00",2021,1,"Q1 2021",3,"March 2021",9,"2021, Week 9","2021-03-01 00:00:00",2021-03-07,"Mar 01, 2021 to Mar 07, 2021 (Week 9)",Sat,Saturday
66,"2021-03-07 00:00:00",2021,1,"Q1 2021",3,"March 2021",9,"2021, Week 9","2021-03-01 00:00:00",2021-03-07,"Mar 01, 2021 to Mar 07, 2021 (Week 9)",Sun,Sunday
67,"2021-03-08 00:00:00",2021,1,"Q1 2021",3,"March 2021",10,"2021, Week 10","2021-03-08 00:00:00",2021-03-14,"Mar 08, 2021 to Mar 14, 2021 (Week 10)",Mon,Monday
68,"2021-03-09 00:00:00",2021,1,"Q1 2021",3,"March 2021",10,"2021, Week 10","2021-03-08 00:00:00",2021-03-14,"Mar 08, 2021 to Mar 14, 2021 (Week 10)",Tue,Tuesday
69,"2021-03-10 00:00:00",2021,1,"Q1 2021",3,"March 2021",10,"2021, Week 10","2021-03-08 00:00:00",2021-03-14,"Mar 08, 2021 to Mar 14, 2021 (Week 10)",Wed,Wednesday
70,"2021-03-11 00:00:00",2021,1,"Q1 2021",3,"March 2021",10,"2021, Week 10","2021-03-08 00:00:00",2021-03-14,"Mar 08, 2021 to Mar 14, 2021 (Week 10)",Thu,Thursday
71,"2021-03-12 00:00:00",2021,1,"Q1 2021",3,"March 2021",10,"2021, Week 10","2021-03-08 00:00:00",2021-03-14,"Mar 08, 2021 to Mar 14, 2021 (Week 10)",Fri,Friday
72,"2021-03-13 00:00:00",2021,1,"Q1 2021",3,"March 2021",10,"2021, Week 10","2021-03-08 00:00:00",2021-03-14,"Mar 08, 2021 to Mar 14, 2021 (Week 10)",Sat,Saturday
73,"2021-03-14 00:00:00",2021,1,"Q1 2021",3,"March 2021",10,"2021, Week 10","2021-03-08 00:00:00",2021-03-14,"Mar 08, 2021 to Mar 14, 2021 (Week 10)",Sun,Sunday
